Wavelength (nm),Abs
444.9829102,0.381374091
444.0640259,0.383227438
442.9918518,0.386872083
442.0726318,0.389398783
441.000061,0.391665846
439.9272766,0.393606812
439.0075684,0.395378292
437.9343872,0.39789632
437.0143433,0.399466574
435.9407959,0.401273787
435.0204163,0.401922226
433.9464722,0.403475225
433.0257874,0.404037446
431.9514771,0.405776501
431.0304565,0.406090319
429.9557495,0.406904906
429.0344238,0.406939209
427.9593506,0.408125937
427.0376892,0.409839124
425.9622192,0.409317255
425.0402527,0.410116077
423.9644165,0.410834044
423.0421143,0.409316391
421.9659424,0.409319162
421.0433044,0.409867466
419.9667358,0.410578132
419.0438232,0.410102189
417.9668884,0.409798116
417.0436401,0.409800917
415.9663391,0.409915447
415.0427551,0.410331011
413.9651184,0.408881784
413.0412292,0.408893794
411.9631958,0.407295764
411.039032,0.407621801
409.9606323,0.40562737
409.0361328,0.405344904
407.9573975,0.405340225
407.0325928,0.404618025
405.9534912,0.404193461
405.0283813,0.402909011
403.9489441,0.400829166
403.0235291,0.399349004
401.9437256,0.399787843
401.0180054,0.398338735
399.9378357,0.396435916
399.0118408,0.395111412
397.9313049,0.394209206
397.0050049,0.393999964
395.9241333,0.392885745
394.9975281,0.391422033
394.0707703,0.392049372
392.9894104,0.390652508
392.0623779,0.389202952
390.9806519,0.387147993
390.0533142,0.386623949
388.9712524,0.385216892
388.0436401,0.384391934
386.9612427,0.383942366
386.0333252,0.382684767
384.950592,0.382579118
384.0223694,0.381945372
382.9393005,0.381860435
382.0108032,0.38129887
380.9273987,0.38077572
379.9985962,0.378772765
379.0697021,0.378233433
377.9858093,0.37944898
377.0566101,0.377914071
375.9723816,0.378367722
375.0428772,0.376330525
373.9583435,0.377614915
373.0285645,0.37932545
371.9436951,0.379688114
371.0136414,0.378919452
369.9284363,0.380071938
368.9981079,0.380750388
368.0676575,0.381489337
366.9819641,0.383206368
366.051239,0.383558482
364.9652405,0.385762811
364.0342407,0.386673063
362.9479065,0.389754564
362.0166321,0.393035621
360.9299927,0.393264294
359.9984741,0.396768242
359.066803,0.398844034
357.9796753,0.400020391
357.04776,0.402575404
355.9603271,0.406279147
355.0281067,0.411415726
353.9403992,0.415444076
353.0079041,0.41767773
352.0753174,0.421066612
350.9871521,0.427995801
350.0542908,0.428554863
348.9657898,0.435063481
348.0326538,0.435341179
346.9438782,0.443343371
346.010498,0.446152568
345.0769958,0.453046531
343.9877625,0.457877427
343.0539856,0.460614324
341.964447,0.46543777
341.030426,0.471976072
339.9405823,0.476863235
339.0063171,0.481528223
338.0719299,0.483901203
336.9816284,0.491864622
336.0469971,0.496784627
334.9564209,0.500654161
334.0215149,0.5087291
332.9306641,0.511341989
331.9955139,0.516645193
331.0602417,0.522815287
329.9689636,0.527566314
329.0334473,0.529970706
327.941864,0.537506998
327.0061035,0.540032685
326.0702515,0.546729684
324.978241,0.554695427
324.0421143,0.557491183
322.9498596,0.561746836
322.0134888,0.565079033
321.0770264,0.572937906
319.984314,0.579404891
319.0476074,0.585216165
317.9546204,0.592727721
317.0176697,0.599268198
315.9244385,0.611830354
314.9872437,0.620551229
314.0499268,0.626982629
312.9562988,0.640056908
312.0187378,0.654305637
310.9248047,0.671192169
309.9870605,0.686975658
309.0491638,0.702047288
307.954834,0.724931121
307.0167236,0.75057596
305.9221497,0.783973157
304.9837952,0.817498624
304.0453491,0.849760771
302.9503784,0.900257349
302.0116882,0.950502276
301.0729065,1.023551941
299.9775391,1.108509421
299.0385437,1.193957329
297.9429016,1.320472002
297.0036621,1.455667734
296.0643311,1.639725327
294.9683228,1.899479151
294.0287781,2.112481833
292.9324951,2.424509525
291.9927368,2.802634716
291.0528564,3.426319361
