Grape Kool Aid,,,,
Wavelength (nm),Abs,,505 nm,1.629689932
512.9697266,1.538117051,,,
512.0634766,1.551148057,,,
511.0059509,1.560265899,,,
509.9481506,1.577146173,,,
509.0413208,1.587374568,,,
507.9830933,1.602221847,,,
506.9246216,1.611621857,,,
506.0171814,1.619091868,,,
504.9582825,1.629689932,,,
504.0504456,1.642163873,,,
502.9910889,1.641143084,,,
501.9315186,1.654479384,,,
501.0231018,1.656983256,,,
499.9630737,1.661451936,,,
499.0542908,1.662180901,,,
497.9938354,1.664431214,,,
496.933136,1.659259915,,,
496.0237732,1.664388776,,,
494.9626465,1.655608535,,,
494.052887,1.655561447,,,
492.991333,1.637701273,,,
491.9295349,1.628824353,,,
491.0192261,1.617502451,,,
489.9570007,1.596624732,,,
489.0463257,1.585811853,,,
487.9836426,1.573513746,,,
487.0726013,1.550848842,,,
486.0095215,1.536513209,,,
484.9461975,1.512676001,,,
484.0346069,1.500780463,,,
482.9708557,1.477782369,,,
482.0588989,1.456565261,,,
480.9947205,1.434305429,,,
479.9303284,1.40765512,,,
479.0177917,1.389021039,,,
477.9529724,1.370814919,,,
477.0401001,1.344726443,,,
475.9748535,1.317018509,,,
475.061615,1.300552607,,,
473.9959717,1.274337411,,,
472.9300842,1.255182981,,,
472.0162964,1.232808709,,,
470.9500122,1.20826149,,,
470.0358582,1.190175056,,,
468.9691467,1.167506337,,,
468.054657,1.149875045,,,
466.9875488,1.125249386,,,
466.0726929,1.106384516,,,
465.0051575,1.095273852,,,
463.9374084,1.057568669,,,
463.0220337,1.039767742,,,
461.9538879,1.01917696,,,
461.038147,1.003041029,,,
459.9696045,0.980049849,,,
459.0534973,0.962324619,,,
457.9845581,0.940871418,,,
457.0681152,0.923337996,,,
455.9987488,0.904346287,,,
454.9291687,0.885282099,,,
454.0122375,0.865047753,,,
452.9422607,0.845520318,,,
452.0249634,0.832057715,,,
450.9545898,0.813509584,,,
450.0369568,0.802777767,,,
448.9661865,0.786687076,,,
448.0482178,0.772153556,,,
446.9770508,0.759571493,,,
446.0587463,0.749285519,,,
444.9871826,0.737727761,,,
444.0685425,0.728645265,,,
442.996582,0.719884992,,,
441.9244385,0.712310255,,,
441.0052795,0.706032515,,,
439.9327393,0.701502323,,,
439.0132446,0.696072698,,,
437.9403076,0.693414033,,,
437.0205078,0.69234997,,,
435.9472046,0.690158665,,,
435.0270386,0.690338194,,,
433.9533386,0.690131009,,,
433.0328674,0.692173421,,,
431.9588013,0.695311546,,,
431.0379944,0.696180463,,,
429.963562,0.699648857,,,
429.0424194,0.702957034,,,
427.9675903,0.70700866,,,
427.0461426,0.712890208,,,
425.9709473,0.718092263,,,
425.0491943,0.722144842,,,
423.9736023,0.728104174,,,
423.0515137,0.734111846,,,
421.9755859,0.740842223,,,
421.0531616,0.747498095,,,
419.9768372,0.756017864,,,
419.0541382,0.762918294,,,
417.9774475,0.769308448,,,
417.0544128,0.776194692,,,
415.977356,0.793944359,,,
415.0540161,0.79080832,,,
413.976593,0.797847748,,,
413.0529175,0.802595675,,,
411.9751587,0.808167517,,,
411.051178,0.811218262,,,
409.9730225,0.813764572,,,
409.0487671,0.814666331,,,
407.9702454,0.815072894,,,
407.0456543,0.814025164,,,
405.9667969,0.811953366,,,
405.0419006,0.807977676,,,
403.9627075,0.803271473,,,
403.0375061,0.798974097,,,
401.9579163,0.792703033,,,
401.0324402,0.788159251,,,
399.9525146,0.78000927,,,
,,,,
Grape Kool Aid,,,,
Grape Kool Aid,,,,
Collection Time: 9/20/2017 4:00:11 PM,,,,
Operator Name  :,,,,
Scan Software Version: 3.00(339),,,,
Parameter List :,,,,
Instrument                        Cary 50,,,,
Instrument Version                3.00,,,,
Start (nm)                        800.0,,,,
Stop (nm)                         400.0,,,,
X Mode                            Nanometers,,,,
Y Mode                            Abs,,,,
UV-Vis Scan Rate (nm/min)         600.00,,,,
UV-Vis Data Interval (nm)         1.00,,,,
UV-Vis Ave. Time (sec)            0.1000,,,,
Beam Mode                         Dual Beam,,,,
Baseline Correction               On,,,,
Baseline Type                     Baseline correction,,,,
Baseline File Name,,,,
Baseline Std Ref File Name,,,,
Cycle Mode                        Off,,,,
Comments,,,,
Method Log     :,,,,
Method Name    :,,,,
Date/Time stamp: 9/20/2017 3:58:07 PM,,,,
Method Modifications:,,,,
UVVIS SAT Changed: 9/20/2017 3:58:14 PM, Old:0.0125, New:0.1000,,
Common SAT Changed: 9/20/2017 3:58:14 PM, Old:0.0125, New:0.1000,,
UVVIS SAT Changed: 9/20/2017 3:58:36 PM, Old:0.0125, New:0.1000,,
Common SAT Changed: 9/20/2017 3:58:36 PM, Old:0.0125, New:0.1000,,
X Stop nm Changed: 9/20/2017 3:58:37 PM, Old:  200.0, New:  400.0,,
Common Interval nm Changed: 9/20/2017 3:58:37 PM, Old:     5.00, New:     1.00,,
Baseline Correction Changed: 9/20/2017 3:58:37 PM, Old:0, New:1,,
End Method Modifications,,,,
<Current Wavelength> ,402,,,
