Wavelength,Abs,Concentration
210.0293274,0.790950596,2.00E-05
204.9998779,0.745911181,2.00E-05
199.9680481,0.683709681,2.00E-05
799.9783936,-0.004981447,5.99E-05
794.9778442,-0.002070284,5.99E-05
789.9673462,0.001432586,5.99E-05
784.9469604,-0.005644049,5.99E-05
780.0567017,-0.005281165,5.99E-05
775.0170898,-0.002300646,5.99E-05
769.9678345,-0.001168059,5.99E-05
765.0496216,-0.002674621,5.99E-05
759.9814453,-0.00380755,5.99E-05
755.0449829,-0.00174849,5.99E-05
749.9581909,-0.001376193,5.99E-05
745.0037231,-0.000287446,5.99E-05
740.0404663,-0.004249754,5.99E-05
735.0685425,-0.002694996,5.99E-05
729.9454346,-0.003293172,5.99E-05
724.9559326,-0.006085869,5.99E-05
719.9578857,-0.001934596,5.99E-05
714.951355,-0.001243024,5.99E-05
709.9364014,-0.00363698,5.99E-05
705.0567017,-0.004700165,5.99E-05
700.0252686,-0.003416058,5.99E-05
694.9855957,-0.007575903,5.99E-05
689.9377441,-0.002238483,5.99E-05
685.0263062,-0.001421193,5.99E-05
679.9624634,-0.004824343,5.99E-05
675.0356445,-0.005572089,5.99E-05
669.9560547,-0.003459769,5.99E-05
665.0139771,0.001048923,5.99E-05
660.0645752,-0.001677171,5.99E-05
654.9619141,-0.000498795,5.99E-05
649.9976196,-0.001798762,5.99E-05
645.026123,-0.001652983,5.99E-05
640.0474243,-0.001717447,5.99E-05
635.0616455,-0.002229212,5.99E-05
630.0687866,0.000498772,5.99E-05
625.0689087,6.46E-05,5.99E-05
620.0620728,-0.000813972,5.99E-05
615.0483398,0.000395355,5.99E-05
610.027771,0.002280525,5.99E-05
605.0004272,0.010041376,5.99E-05
599.9663086,0.011005755,5.99E-05
595.0739136,0.019538628,5.99E-05
590.0267334,0.034730557,5.99E-05
584.9729614,0.051106799,5.99E-05
580.0615845,0.083572291,5.99E-05
574.9951172,0.13776122,5.99E-05
570.0714722,0.206789285,5.99E-05
564.9923706,0.31009084,5.99E-05
560.0567017,0.435384452,5.99E-05
554.965271,0.599069059,5.99E-05
550.0177002,0.765618444,5.99E-05
545.0643921,0.924823463,5.99E-05
539.9550171,1.069623828,5.99E-05
534.9901123,1.172016263,5.99E-05
530.0196533,1.25165391,5.99E-05
525.0436401,1.316966772,5.99E-05
520.0620728,1.365102053,5.99E-05
515.0751343,1.419797659,5.99E-05
509.9313965,1.479852915,5.99E-05
504.9335022,1.506774902,5.99E-05
499.9303284,1.520766973,5.99E-05
495.073761,1.498469353,5.99E-05
490.0603333,1.428320289,5.99E-05
485.0417786,1.330499172,5.99E-05
480.0181274,1.228395343,5.99E-05
474.9894409,1.118445754,5.99E-05
469.95578,0.989162743,5.99E-05
465.0699463,0.886937201,5.99E-05
460.0266418,0.779356599,5.99E-05
454.9785461,0.683201551,5.99E-05
449.9256592,0.604507327,5.99E-05
445.0213623,0.539102674,5.99E-05
439.959259,0.496121883,5.99E-05
435.0461426,0.470588774,5.99E-05
429.9749756,0.460023731,5.99E-05
425.0531921,0.449841172,5.99E-05
419.9732361,0.439973503,5.99E-05
415.0429993,0.426829726,5.99E-05
409.9544373,0.413673133,5.99E-05
405.0159607,0.401215315,5.99E-05
400.0734863,0.389264643,5.99E-05
