Wavelength (nm),Abs,Concentration,,,,,,,,,,,,,,,,,
605.0088501,0.011837337,0.000000201,,,,,,,,,,,,,,,,,
603.9747314,0.011725227,0.000000201,,,,,,,,,,,,,,,,,
602.9403687,0.011310368,0.000000201,,,,,,,,,,,,,,,,,
602.0535278,0.010729294,0.000000201,,,,,,,,,,,,,,,,,
601.0186157,0.010704194,0.000000201,,,,,,,,,,,,,,,,,
599.9833984,0.0101247,0.000000201,,,,,,,,,,,,,,,,,
598.947937,0.010253572,0.000000201,,,,,,,,,,,,,,,,,
598.0601807,0.009378166,0.000000201,,,,,,,,,,,,,,,,,
597.0241699,0.009894585,0.000000201,,,,,,,,,,,,,,,,,
595.987854,0.009600226,0.000000201,,,,,,,,,,,,,,,,,
594.9512939,0.008603762,0.000000201,,,,,,,,,,,,,,,,,
594.062561,0.008416546,0.000000201,,,,,,,,,,,,,,,,,
593.0255127,0.00808927,0.000000201,,,,,,,,,,,,,,,,,
591.9880981,0.008881594,0.000000201,,,,,,,,,,,,,,,,,
590.9505005,0.008493223,0.000000201,,,,,,,,,,,,,,,,,
590.0608521,0.008713511,0.000000201,,,,,,,,,,,,,,,,,
589.022644,0.008232102,0.000000201,,,,,,,,,,,,,,,,,
587.9841919,0.007641772,0.000000201,,,,,,,,,,,,,,,,,
586.9454956,0.008499928,0.000000201,,,,,,,,,,,,,,,,,
586.0549316,0.008245951,0.000000201,,,,,,,,,,,,,,,,,
585.015686,0.007928479,0.000000201,,,,,,,,,,,,,,,,,
583.9761963,0.006970929,0.000000201,,,,,,,,,,,,,,,,,
582.9364014,0.00751952,0.000000201,,,,,,,,,,,,,,,,,
582.0449219,0.007230029,0.000000201,,,,,,,,,,,,,,,,,
581.0046387,0.007546122,0.000000201,,,,,,,,,,,,,,,,,
579.9640503,0.005807632,0.000000201,,,,,,,,,,,,,,,,,
579.0718994,0.007569802,0.000000201,,,,,,,,,,,,,,,,,
578.0308228,0.006401855,0.000000201,,,,,,,,,,,,,,,,,
576.9894409,0.005471043,0.000000201,,,,,,,,,,,,,,,,,
575.9478149,0.006271862,0.000000201,,,,,,,,,,,,,,,,,
575.0548096,0.006511994,0.000000201,,,,,,,,,,,,,,,,,
574.0126343,0.006408922,0.000000201,,,,,,,,,,,,,,,,,
572.9702148,0.006104314,0.000000201,,,,,,,,,,,,,,,,,
571.9275513,0.005844519,0.000000201,,,,,,,,,,,,,,,,,
571.0336304,0.005248097,0.000000201,,,,,,,,,,,,,,,,,
569.9904785,0.005280692,0.000000201,,,,,,,,,,,,,,,,,
568.9470215,0.004922335,0.000000201,,,,,,,,,,,,,,,,,
568.0524292,0.004895448,0.000000201,,,,,,,,,,,,,,,,,
567.0084839,0.004741069,0.000000201,,,,,,,,,,,,,,,,,
565.9642334,0.004615889,0.000000201,,,,,,,,,,,,,,,,,
565.0689697,0.004632529,0.000000201,,,,,,,,,,,,,,,,,
564.024292,0.004147936,0.000000201,,,,,,,,,,,,,,,,,
562.9793091,0.003526357,0.000000201,,,,,,,,,,,,,,,,,
561.934021,0.003611441,0.000000201,,,,,,,,,,,,,,,,,
561.0379028,0.003608701,0.000000201,,,,,,,,,,,,,,,,,
559.9921875,0.0034529,0.000000201,,,,,,,,,,,,,,,,,
558.946167,0.003217869,0.000000201,,,,,,,,,,,,,,,,,
558.0493774,0.003376742,0.000000201,,,,,,,,,,,,,,,,,
557.0029297,0.003243479,0.000000201,,,,,,,,,,,,,,,,,
555.9561157,0.003258579,0.000000201,,,,,,,,,,,,,,,,,
555.0587158,0.002728626,0.000000201,,,,,,,,,,,,,,,,,
554.0114746,0.002580275,0.000000201,,,,,,,,,,,,,,,,,
552.9639893,0.002399411,0.000000201,,,,,,,,,,,,,,,,,
552.065918,0.003178701,0.000000201,,,,,,,,,,,,,,,,,
