Wavelength (nm),Abs,Concentration
733.963501,0.000672494,0.000000202
732.9667969,0.00066018,0.000000202
731.9696655,0.000417897,0.000000202
730.972229,0.001203084,0.000000202
729.9744873,0.000891002,0.000000202
728.9763794,0.000669616,0.000000202
727.9779053,-1.64E-05,0.000000202
726.9790649,0.000625208,0.000000202
725.9799194,0.000574349,0.000000202
724.9804077,0.000477652,0.000000202
723.9805908,0.000621008,0.000000202
722.9804077,0.000198358,0.000000202
721.9798584,0.000680739,0.000000202
720.9790039,0.000651676,0.000000202
719.9778442,0.000183078,0.000000202
718.9762573,0.00080217,0.000000202
717.9744263,0.000977051,0.000000202
716.972168,0.000477211,0.000000202
715.9696045,0.001183383,0.000000202
714.9667358,0.000493434,0.000000202
713.963501,0.000985768,0.000000202
712.9598999,0.000557372,0.000000202
711.9559937,0.000603666,0.000000202
710.9517822,0.001209808,0.000000202
709.9472046,0.000210659,0.000000202
708.9422607,0.000219879,0.000000202
707.9370117,0.000831917,0.000000202
706.9314575,0.000936917,0.000000202
706.0692139,0.00108084,0.000000202
705.0630493,0.001067839,0.000000202
704.0565186,0.000655694,0.000000202
703.0496216,0.000756866,0.000000202
702.0424194,0.00066285,0.000000202
701.0349121,0.000974379,0.000000202
700.0270386,0.00055675,0.000000202
699.0188599,0.000491594,0.000000202
698.0103149,0.000654528,0.000000202
697.0014648,0.000491153,0.000000202
695.9923096,0.000239718,0.000000202
694.9827881,0.000495948,0.000000202
693.9729614,0.000328928,0.000000202
692.9627686,0.00048838,0.000000202
691.9522705,0.000666194,0.000000202
690.9414673,0.000832462,0.000000202
689.9302979,0.000731091,0.000000202
689.0633545,0.000277379,0.000000202
688.0516357,0.000514218,0.000000202
687.0395508,0.000444482,0.000000202
686.0271606,0.000368047,0.000000202
685.0144043,8.90E-05,0.000000202
684.0013428,4.79E-05,0.000000202
682.9879761,0.000207992,0.000000202
681.9743042,0.000718075,0.000000202
680.9602661,0.000748464,0.000000202
679.9459229,0.001006369,0.000000202
678.9312744,0.000607373,0.000000202
678.0613403,0.000149906,0.000000202
677.0460815,0.000376131,0.000000202
676.0305176,0.000409735,0.000000202
675.0146484,0.001220347,0.000000202
673.9984131,0.000866724,0.000000202
672.9818726,0.000327503,0.000000202
671.9650269,0.000953001,0.000000202
670.947876,0.000148015,0.000000202
669.9304199,0.00012396,0.000000202
